id_number	name	e_mail	phone	b_year	b_mon	b_day	a.x	a.y	profession	risk	age_group	timestamp
523456789012345	demo5_0001	demo5_0001@zju.edu.cn	12345678901	1954	7	4	22	13	1	2	0	0
523456789012346	demo5_0002	demo5_0002@zju.edu.cn	12345678902	1964	6	3	5	48	8	2	1	0
523456789012345	demo5_0003	demo5_0003@zju.edu.cn	12345678903	1992	3	3	9	5	5	0	2	0
523456789012346	demo5_0004	demo5_0004@zju.edu.cn	12345678904	1976	8	6	28	12	2	1	3	0
523456789012345	demo5_0005	demo5_0005@zju.edu.cn	12345678905	1972	10	15	20	24	3	1	4	0
523456789012346	demo5_0006	demo5_0006@zju.edu.cn	12345678906	1968	4	4	2	20	3	1	5	0
523456789012345	demo5_0007	demo5_0007@zju.edu.cn	12345678907	2004	12	15	42	41	1	2	6	0
523456789012346	demo5_0008	demo5_0008@zju.edu.cn	12345678908	2013	1	28	17	22	7	0	7	0
523456789012345	demo5_0009	demo5_0009@zju.edu.cn	12345678909	1964	7	11	12	11	1	1	8	0
523456789012346	demo5_0010	demo5_0010@zju.edu.cn	12345678910	2015	8	1	32	46	1	1	9	0
523456789012345	demo5_0011	demo5_0011@zju.edu.cn	12345678911	1950	7	19	38	20	5	1	10	0
523456789012346	demo5_0012	demo5_0012@zju.edu.cn	12345678912	1953	7	17	20	27	2	3	11	0
523456789012345	demo5_0013	demo5_0013@zju.edu.cn	12345678913	1995	4	7	32	47	7	2	12	0
523456789012346	demo5_0014	demo5_0014@zju.edu.cn	12345678914	1980	5	19	49	45	4	2	13	0
523456789012345	demo5_0015	demo5_0015@zju.edu.cn	12345678915	1955	11	8	16	36	5	2	14	0
523456789012346	demo5_0016	demo5_0016@zju.edu.cn	12345678916	2017	6	1	26	44	5	1	15	0
523456789012345	demo5_0017	demo5_0017@zju.edu.cn	12345678917	1974	1	23	22	20	7	2	16	0
523456789012346	demo5_0018	demo5_0018@zju.edu.cn	12345678918	2019	3	21	29	47	5	3	17	0
523456789012345	demo5_0019	demo5_0019@zju.edu.cn	12345678919	2002	7	1	4	45	7	1	18	0
523456789012346	demo5_0020	demo5_0020@zju.edu.cn	12345678920	1984	5	23	23	4	5	1	19	0
523456789012345	demo5_0021	demo5_0021@zju.edu.cn	12345678921	1956	11	25	50	34	7	3	20	0
523456789012346	demo5_0022	demo5_0022@zju.edu.cn	12345678922	2002	7	9	33	21	8	3	21	0
523456789012345	demo5_0023	demo5_0023@zju.edu.cn	12345678923	1961	4	1	27	49	5	1	22	0
523456789012346	demo5_0024	demo5_0024@zju.edu.cn	12345678924	2011	3	8	43	9	6	1	23	0
523456789012345	demo5_0025	demo5_0025@zju.edu.cn	12345678925	1992	4	26	1	37	1	3	24	0
523456789012346	demo5_0026	demo5_0026@zju.edu.cn	12345678926	1961	8	17	2	20	3	2	25	0
523456789012345	demo5_0027	demo5_0027@zju.edu.cn	12345678927	1966	6	7	1	34	5	3	26	0
523456789012346	demo5_0028	demo5_0028@zju.edu.cn	12345678928	1988	3	3	43	47	6	1	27	0
523456789012345	demo5_0029	demo5_0029@zju.edu.cn	12345678929	2006	1	2	45	9	1	3	28	0
523456789012346	demo5_0030	demo5_0030@zju.edu.cn	12345678930	1974	6	15	37	44	3	3	29	0
523456789012345	demo5_0031	demo5_0031@zju.edu.cn	12345678931	1989	10	5	34	33	2	3	30	0
523456789012346	demo5_0032	demo5_0032@zju.edu.cn	12345678932	1969	8	8	19	45	2	0	31	0
523456789012345	demo5_0033	demo5_0033@zju.edu.cn	12345678933	1974	10	18	6	19	6	3	32	0
523456789012346	demo5_0034	demo5_0034@zju.edu.cn	12345678934	1973	4	27	1	40	3	1	33	0
523456789012345	demo5_0035	demo5_0035@zju.edu.cn	12345678935	1965	4	3	48	45	6	1	34	0
523456789012346	demo5_0036	demo5_0036@zju.edu.cn	12345678936	1956	6	4	1	39	5	1	35	0
523456789012345	demo5_0037	demo5_0037@zju.edu.cn	12345678937	1967	10	14	18	40	7	1	36	0
523456789012346	demo5_0038	demo5_0038@zju.edu.cn	12345678938	2007	9	12	43	28	3	3	37	0
523456789012345	demo5_0039	demo5_0039@zju.edu.cn	12345678939	1959	1	17	37	14	4	3	38	0
523456789012346	demo5_0040	demo5_0040@zju.edu.cn	12345678940	2007	7	9	39	23	7	3	39	0
523456789012345	demo5_0041	demo5_0041@zju.edu.cn	12345678941	1999	7	14	25	45	1	2	40	0
523456789012346	demo5_0042	demo5_0042@zju.edu.cn	12345678942	1976	7	14	38	23	6	2	41	0
523456789012345	demo5_0043	demo5_0043@zju.edu.cn	12345678943	2019	5	15	27	7	8	1	42	0
523456789012346	demo5_0044	demo5_0044@zju.edu.cn	12345678944	1971	2	14	3	9	2	2	43	0
523456789012345	demo5_0045	demo5_0045@zju.edu.cn	12345678945	2015	1	27	5	25	3	0	44	0
523456789012346	demo5_0046	demo5_0046@zju.edu.cn	12345678946	2008	12	14	30	28	1	1	45	0
523456789012345	demo5_0047	demo5_0047@zju.edu.cn	12345678947	1993	12	3	48	18	6	2	46	0
523456789012346	demo5_0048	demo5_0048@zju.edu.cn	12345678948	1951	11	19	41	42	7	0	47	0
523456789012345	demo5_0049	demo5_0049@zju.edu.cn	12345678949	2012	2	12	45	16	7	2	48	0
523456789012346	demo5_0050	demo5_0050@zju.edu.cn	12345678950	1994	1	26	2	20	6	2	49	0
