id_number	name	e_mail	phone	b_year	b_mon	b_day	a.x	a.y	profession	risk	age_group	timestamp
223456789012345	demo1_0001	demo1_0001@zju.edu.cn	12345678901	1951	1	12	48	30	7	2	0	0
223456789012346	demo1_0002	demo1_0002@zju.edu.cn	12345678902	1974	11	17	16	23	2	1	1	0
223456789012347	demo1_0003	demo1_0003@zju.edu.cn	12345678903	2016	4	23	49	21	5	2	2	0
223456789012348	demo1_0004	demo1_0004@zju.edu.cn	12345678904	1981	11	18	44	20	7	3	3	0
223456789012349	demo1_0005	demo1_0005@zju.edu.cn	12345678905	2015	8	25	25	42	7	3	4	0
223456789012350	demo1_0006	demo1_0006@zju.edu.cn	12345678906	1951	3	10	39	24	3	1	5	0
223456789012351	demo1_0007	demo1_0007@zju.edu.cn	12345678907	1967	4	13	27	1	8	3	6	0
223456789012352	demo1_0008	demo1_0008@zju.edu.cn	12345678908	1954	3	9	10	32	3	2	7	0
223456789012353	demo1_0009	demo1_0009@zju.edu.cn	12345678909	2021	10	22	25	36	7	2	8	0
223456789012354	demo1_0010	demo1_0010@zju.edu.cn	12345678910	1981	11	20	38	14	6	2	9	0
223456789012355	demo1_0011	demo1_0011@zju.edu.cn	12345678911	2007	8	3	8	24	1	2	10	0
223456789012356	demo1_0012	demo1_0012@zju.edu.cn	12345678912	1976	1	2	29	29	4	0	11	0
223456789012357	demo1_0013	demo1_0013@zju.edu.cn	12345678913	1959	5	8	13	29	2	2	12	0
223456789012358	demo1_0014	demo1_0014@zju.edu.cn	12345678914	1977	4	25	2	27	2	3	13	0
223456789012359	demo1_0015	demo1_0015@zju.edu.cn	12345678915	1958	4	26	17	14	2	1	14	0
223456789012360	demo1_0016	demo1_0016@zju.edu.cn	12345678916	1990	1	12	31	48	1	3	15	0
223456789012361	demo1_0017	demo1_0017@zju.edu.cn	12345678917	1952	9	14	24	36	6	1	16	0
223456789012362	demo1_0018	demo1_0018@zju.edu.cn	12345678918	1975	4	5	37	19	3	0	17	0
